,loss,auc_2,val_loss,val_auc_2,lr
0,0.5815711617469788,0.7890748381614685,0.4982058107852936,0.8460490703582764,0.0010000000474974513
1,0.5005815625190735,0.8398689031600952,0.4775315821170807,0.861052393913269,0.0010000000474974513
2,0.5105350017547607,0.8332852125167847,0.46897783875465393,0.8589980006217957,0.0010000000474974513
3,0.48797887563705444,0.8520969152450562,0.45608964562416077,0.8807976841926575,0.0010000000474974513
4,0.49905630946159363,0.8468899130821228,0.45418038964271545,0.8677418231964111,0.0010000000474974513
5,0.49453648924827576,0.8520362973213196,0.426725834608078,0.8852372765541077,0.0010000000474974513
6,0.47766149044036865,0.859760046005249,0.43251708149909973,0.8785577416419983,0.0010000000474974513
7,0.4723470211029053,0.8658804893493652,0.4882476329803467,0.8416765332221985,0.0010000000474974513
8,0.4811879098415375,0.8543494343757629,0.4530748128890991,0.8769164085388184,0.0010000000474974513
9,0.4365076720714569,0.8852921724319458,0.4252273142337799,0.8875261545181274,0.00010000000474974513
10,0.41807448863983154,0.8952684998512268,0.4236904978752136,0.8900948166847229,0.00010000000474974513
11,0.40677890181541443,0.9000763893127441,0.4313329756259918,0.8889193534851074,0.00010000000474974513
12,0.3892543613910675,0.9093671441078186,0.431208997964859,0.8849393725395203,0.00010000000474974513
13,0.3709189295768738,0.9166908264160156,0.4423557221889496,0.8834503889083862,0.00010000000474974513
14,0.3648166060447693,0.9224047064781189,0.43880701065063477,0.8843722343444824,1.0000000656873453e-05
15,0.3586048185825348,0.9225239753723145,0.4415101110935211,0.8847192525863647,1.0000000656873453e-05
16,0.3574189245700836,0.924372136592865,0.4456770718097687,0.8839753270149231,1.0000000656873453e-05
17,0.3520060181617737,0.923958957195282,0.4429013133049011,0.8848521709442139,1.0000001111620804e-06
18,0.36828404664993286,0.9222691059112549,0.4449608325958252,0.8842292428016663,1.0000001111620804e-06
19,0.35393986105918884,0.9246613383293152,0.44635650515556335,0.884680449962616,1.0000001111620804e-06
