,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0,1.0674974918365479,0.5833333134651184,0.6774960160255432,1.0595449209213257,0.6108918786048889,0.724105179309845,0.0010000000474974513
1,0.9564549326896667,0.6364182829856873,0.7447665929794312,1.1979305744171143,0.5477505922317505,0.7375453114509583,0.0010000000474974513
2,0.9339208602905273,0.6362179517745972,0.7605323195457458,0.9424375295639038,0.6227308511734009,0.7797975540161133,0.0010000000474974513
3,0.912091076374054,0.6362179517745972,0.7806503772735596,0.9436567425727844,0.6353591084480286,0.7794933915138245,0.0010000000474974513
4,0.8989986777305603,0.6480368971824646,0.7852001190185547,0.9140803217887878,0.6471980810165405,0.7749766707420349,0.0010000000474974513
5,0.8922023177146912,0.6482371687889099,0.7904897332191467,0.9718028903007507,0.6172059774398804,0.7703258991241455,0.0010000000474974513
6,0.878957986831665,0.6596554517745972,0.8012365698814392,0.9192445278167725,0.64167320728302,0.7763051986694336,0.0010000000474974513
7,0.8664283156394958,0.6596554517745972,0.8063442707061768,0.9048007130622864,0.6503551602363586,0.7889021635055542,0.0010000000474974513
8,0.8399578332901001,0.6698718070983887,0.8202893733978271,0.9244843125343323,0.637726902961731,0.7864763736724854,0.0010000000474974513
9,0.8314686417579651,0.6780849695205688,0.8220604658126831,0.9297975301742554,0.6511444449424744,0.7763466238975525,0.0010000000474974513
10,0.8290414214134216,0.6752804517745972,0.8233916759490967,0.9351131319999695,0.6432517766952515,0.7896832823753357,0.0010000000474974513
11,0.7672005295753479,0.6961137652397156,0.8537253141403198,0.87384033203125,0.6677190065383911,0.8090872168540955,0.00010000000474974513
12,0.7259488701820374,0.7159455418586731,0.8711168169975281,0.8999509811401367,0.6535122394561768,0.8037124276161194,0.00010000000474974513
13,0.7082568407058716,0.7265625,0.8762819766998291,0.9094654321670532,0.6495658755302429,0.8047956228256226,0.00010000000474974513
14,0.6852160692214966,0.7299679517745972,0.8862598538398743,0.908592164516449,0.663772702217102,0.8038904070854187,0.00010000000474974513
