,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0,1.1667587757110596,0.5560897588729858,0.6494042873382568,1.0223675966262817,0.614838182926178,0.7306013107299805,0.0010000000474974513
1,1.0191229581832886,0.612379789352417,0.7054299712181091,1.0307819843292236,0.6069455146789551,0.7420448660850525,0.0010000000474974513
2,0.987633228302002,0.6207932829856873,0.7285186052322388,0.9494875073432922,0.6322020292282104,0.762512743473053,0.0010000000474974513
3,0.9432345628738403,0.637620210647583,0.7558344602584839,0.9263961911201477,0.6456195712089539,0.7781912684440613,0.0010000000474974513
4,0.9430978298187256,0.6332131624221802,0.7616114020347595,1.1209686994552612,0.5951065421104431,0.7511899471282959,0.0010000000474974513
5,0.9270487427711487,0.6460336446762085,0.7613089680671692,0.8996280431747437,0.6543014645576477,0.782604455947876,0.0010000000474974513
6,0.9273743629455566,0.6390224695205688,0.7715550065040588,0.9183692336082458,0.6535122394561768,0.7730216979980469,0.0010000000474974513
7,0.8979551792144775,0.6552484035491943,0.7838587164878845,0.9094609022140503,0.6448302865028381,0.7822512984275818,0.0010000000474974513
8,0.889365017414093,0.6564503312110901,0.7910731434822083,0.9780033230781555,0.6235201358795166,0.7812551856040955,0.0010000000474974513
9,0.8483402729034424,0.6792868971824646,0.8067956566810608,0.8935928344726562,0.6471980810165405,0.8059892654418945,0.00010000000474974513
10,0.8268566727638245,0.6768830418586731,0.8206179738044739,0.8865987062454224,0.6535122394561768,0.8071195483207703,0.00010000000474974513
11,0.8043802380561829,0.6915064454078674,0.8278067708015442,0.8809005618095398,0.6598263382911682,0.8101677298545837,0.00010000000474974513
12,0.7922158241271973,0.6925080418586731,0.8359416127204895,0.9098206758499146,0.6495658755302429,0.8052131533622742,0.00010000000474974513
13,0.7888265252113342,0.6981170177459717,0.8324981927871704,0.8862594366073608,0.6479873657226562,0.8078946471214294,0.00010000000474974513
14,0.7877799272537231,0.6953125,0.8382511734962463,0.9029300212860107,0.6471980810165405,0.8029094338417053,0.00010000000474974513
